Hotel_Name,Price,Rating,Reviews,City,Rating_status
"Hotel Nobel Inn, Ahmedabad",1019,9.1,368,Ahmedabad,High
Wyndham Ahmedabad Shela,12236,8.5,4925,Ahmedabad,High
Twilight,2078,6.6,5,Ahmedabad,Medium
Hotel Shreenath,1528,8.4,141,Ahmedabad,High
Novotel Ahmedabad,15750,8.9,25027,Ahmedabad,High
Hotel Ashish,2252,8,2428,Ahmedabad,High
Comfort Inn President,5578,6.7,325,Ahmedabad,Medium
"Hotel Sai Inn, Ahmedabad Airport",992,5.7,216,Ahmedabad,Medium
Hotel Royal 24,1021,9.4,200,Ahmedabad,High
Fabhotel Shri Krishna Residency,1806,7.4,61,Ahmedabad,Medium
Hotel Royal 21,1698,9.5,81,Ahmedabad,High
Hotel Shrimad Villa Gandhinagar,1156,9.5,168,Ahmedabad,High
Hotel Sunrise Inn,1133,8,87,Ahmedabad,High
Hotel Krishna Inn,1081,8.6,65,Ahmedabad,High
OYO 14211 Laxmi Palace,1418,7.6,216,Ahmedabad,Medium
Hotel Matrix Inn,1674,6.5,5,Ahmedabad,Medium
Renaissance Ahmedabad Hotel,13747,8.9,8293,Ahmedabad,High
FabExpress The Metro Park Ashram Road,1148,8.9,1079,Ahmedabad,High
Hotel Lee Platinum,1124,8.9,232,Ahmedabad,High
Hotel Gitanjali,726,5.1,187,Ahmedabad,Medium
The Marsshal,2289,8.1,101,Ahmedabad,High
Drh Regency,2624,7.5,551,Ahmedabad,Medium
Hotel Bhagyoday,2414,8.2,1981,Ahmedabad,High
Homestay Inn,1416,6.5,5,Ahmedabad,Medium
Hotel Summit,3293,7.7,1590,Ahmedabad,Medium
Pristine Residency,4347,8.3,3759,Ahmedabad,High
OYO 1288 Hotel Keshav,1398,6.7,99,Ahmedabad,Medium
hotel kalash residency,2625,8.2,367,Ahmedabad,High
Hotel Maan Residency Satellite Road,1607,7.3,997,Ahmedabad,Medium
Hotel Good Night,1577,7.9,1089,Ahmedabad,Medium
"Hotel ABC Satellite Prahladnagar, Ahmedabad",1748,8.1,19,Ahmedabad,High
Belvedere Golf & Country Club,9558,9.3,5991,Ahmedabad,High
Hotel Neelkamal,1379,8.6,100,Ahmedabad,High
Via Relax Inn - Nr Sarkhej - Gandhinagar Highway,2234,7.3,571,Ahmedabad,Medium
Hotel Tirupati,1721,7.9,413,Ahmedabad,Medium
Goroomgo Silver Palace Ahemadabad,1199,5.8,331,Ahmedabad,Medium
Hotel O Maninagar Railway Station,1310,6.7,26,Ahmedabad,Medium
Homestayinn,1191,7.3,310,Ahmedabad,Medium
Rudra Regency,1177,6.7,834,Ahmedabad,Medium
Roadies Rostel-Best Adventure Resort in Ahmedabad,7187,8.9,3181,Ahmedabad,High
Hotel Rezaas,4928,7.3,13,Ahmedabad,Medium
Hotel Prime Land,2079,8.8,44,Ahmedabad,High
Capital O 891 Hotel Kadamb Inn,1500,6.9,202,Ahmedabad,Medium
Yellow Lime,6615,8.4,11,Ahmedabad,High
Heritage,1849,7.3,307,Ahmedabad,Medium
Tandoor Palace,1890,8,998,Ahmedabad,High
"Country Inn & Suites by Radisson, Ahmedabad",7421,7.9,836,Ahmedabad,Medium
SK Lords Eco Inn Ahmedabad,3849,8.4,919,Ahmedabad,High
Navjivan Isanpur,3368,9.1,981,Ahmedabad,High
Plenteous Inn,4097,9.4,1138,Ahmedabad,High
Unnati,1180,7.7,38,Ahmedabad,Medium
Seven Karnavati Resort,1638,7.4,43,Ahmedabad,Medium
OYO 10962 Hotel Om Balaji,1095,7.9,387,Ahmedabad,Medium
Oyo Flagship 41641 Poonam Palace,1045,6.7,137,Ahmedabad,Medium
Hotel Mukund Inn,3149,7.6,183,Ahmedabad,Medium
The Grand Bhagwati,5462,8.3,12041,Ahmedabad,High
Hotel Science City Inn Ahmedabad,1283,7.8,587,Ahmedabad,Medium
FabHotel Bridge,1228,7.2,644,Ahmedabad,Medium
Page One,5954,8.7,2682,Ahmedabad,High
Hotel Mapple Inn,2055,7.4,28,Ahmedabad,Medium
Hotel Corporate Residency,1678,7.1,79,Ahmedabad,Medium
Midtown,1598,7.7,244,Ahmedabad,Medium
Ramada Ahmedabad,9440,8.5,1480,Ahmedabad,High
Pvr House ( Second Floor Serenity),5221,9.4,28,Ahmedabad,High
Hotel Planet Landmark,7612,8,91,Ahmedabad,High
Hotel Manila,1600,7.5,473,Ahmedabad,Medium
Hotel Mountain Residency,2260,8.4,19,Ahmedabad,High
Avion Inn,2294,7.5,265,Ahmedabad,Medium
Hotel Riva Palace,2232,8.2,390,Ahmedabad,High
Enjoy in Heaven,5360,9.4,27,Ahmedabad,High
Hotel Palak Palace,1488,6.1,131,Ahmedabad,Medium
Swati Chrysantha,3147,6,8,Ahmedabad,Medium
Ramada by Wyndham Ahmedabad Narendra Modi Stadium Motera,6300,6.8,7,Ahmedabad,Medium
Crowne Plaza Ahmedabad City Centre By Ihg,14985,9.1,17378,Ahmedabad,High
hotel kadamb inn,2068,7.7,1120,Ahmedabad,Medium
